lr-AdamW,step,train/loss,train/loss_a,train/loss_f,train/loss_l,train/loss_ce,train/unscaled/loss_a,train/unscaled/loss_f,train/unscaled/loss_l,train/unscaled/loss_ce,epoch,val/loss,val/loss_a,val/loss_f,val/loss_l,val/loss_ce,val/unscaled/loss_a,val/unscaled/loss_f,val/unscaled/loss_l,val/unscaled/loss_ce,val/best/loss,val/best/loss_a,val/best/loss_f,val/best/loss_l,val/best/loss_ce,val/best/unscaled/loss_a,val/best/unscaled/loss_f,val/best/unscaled/loss_l,val/best/unscaled/loss_ce
0.0003,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.09799210727214813,0.0,0.0675174817442894,0.030474625527858734,0.0,0.0,0.06768627464771271,12.220324516296387,0.0,0,,,,,,,,,,,,,,,,,,
0.0003,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.05829354003071785,0.0,0.04841355234384537,0.009879988618195057,0.0,0.0,0.0485345833003521,3.9618754386901855,0.0,0,,,,,,,,,,,,,,,,,,
0.00029999999284453685,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.08512668311595917,0.0,0.06481745094060898,0.02030923031270504,0.0,0.0,0.06497949361801147,8.144001007080078,0.0,1,,,,,,,,,,,,,,,,,,
0.00029999999284453685,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.08772686123847961,0.0,0.07221072912216187,0.01551612839102745,0.0,0.0,0.07239125669002533,6.2219672203063965,0.0,1,,,,,,,,,,,,,,,,,,
0.0002999999713781482,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,0.08274613320827484,0.0,0.056528490036726,0.026217646896839142,0.0,0.0,0.05666980892419815,10.513276100158691,0.0,2,,,,,,,,,,,,,,,,,,
0.0002999999713781482,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,0.06329397112131119,0.0,0.05073133483529091,0.012562635354697704,0.0,0.0,0.050858162343502045,5.037616729736328,0.0,2,,,,,,,,,,,,,,,,,,
0.000299999935600836,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,0.08652833104133606,0.0,0.07047324627637863,0.016055084764957428,0.0,0.0,0.07064943015575409,6.438088893890381,0.0,3,,,,,,,,,,,,,,,,,,
0.000299999935600836,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,0.0625171810388565,0.0,0.04958057031035423,0.012936612591147423,0.0,0.0,0.049704521894454956,5.187581539154053,0.0,3,,,,,,,,,,,,,,,,,,
0.000299999885512604,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449,0.09079550206661224,0.0,0.059360962361097336,0.03143453970551491,0.0,0.0,0.059509363025426865,12.605250358581543,0.0,4,,,,,,,,,,,,,,,,,,
0.000299999885512604,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,499,0.08106039464473724,0.0,0.0667148232460022,0.014345569536089897,0.0,0.0,0.06688161194324493,5.752573013305664,0.0,4,,,,,,,,,,,,,,,,,,
,529,,,,,,,,,,4,0.06700856983661652,0.0,0.05666767433285713,0.010340895503759384,0.0,0.0,0.05680934339761734,4.146698951721191,0.0,0.06700856983661652,0.0,0.05666767433285713,0.010340895503759384,0.0,0.0,0.05680934339761734,4.146698951721191,0.0
0.00029999982111345697,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,549,0.07676228880882263,0.0,0.06708958745002747,0.00967270229011774,0.0,0.0,0.06725730746984482,3.878753662109375,0.0,5,,,,,,,,,,,,,,,,,,
0.00029999982111345697,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599,0.07195630669593811,0.0,0.060722220689058304,0.011234084144234657,0.0,0.0,0.06087402626872063,4.5048675537109375,0.0,5,,,,,,,,,,,,,,,,,,
0.00029999974240340135,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,649,0.05096126347780228,0.0,0.03962668403983116,0.011334579437971115,0.0,0.0,0.03972575068473816,4.545166015625,0.0,6,,,,,,,,,,,,,,,,,,
0.00029999974240340135,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699,0.05592062324285507,0.0,0.04350411519408226,0.012416508048772812,0.0,0.0,0.043612875044345856,4.979019641876221,0.0,6,,,,,,,,,,,,,,,,,,
0.0002999996493824449,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,749,0.04737948626279831,0.0,0.039305973798036575,0.00807351153343916,0.0,0.0,0.039404239505529404,3.237478017807007,0.0,7,,,,,,,,,,,,,,,,,,
0.0002999996493824449,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,799,0.07527043670415878,0.0,0.05542387068271637,0.019846567884087563,0.0,0.0,0.05556242913007736,7.958473205566406,0.0,7,,,,,,,,,,,,,,,,,,
0.00029999954205059686,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,849,0.06387333571910858,0.0,0.052085988223552704,0.011787345632910728,0.0,0.0,0.05221620202064514,4.7267255783081055,0.0,8,,,,,,,,,,,,,,,,,,
0.00029999954205059686,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,899,0.07290045917034149,0.0,0.0642177015542984,0.00868275947868824,0.0,0.0,0.06437824666500092,3.4817864894866943,0.0,8,,,,,,,,,,,,,,,,,,
0.00029999954205059686,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,949,0.07158035784959793,0.0,0.0627465546131134,0.008833802305161953,0.0,0.0,0.06290341913700104,3.5423545837402344,0.0,8,,,,,,,,,,,,,,,,,,
0.0002999994204078677,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,999,0.05763842537999153,0.0,0.04350529611110687,0.014133128337562084,0.0,0.0,0.04361405968666077,5.667384147644043,0.0,9,,,,,,,,,,,,,,,,,,
0.0002999994204078677,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1049,0.07397286593914032,0.0,0.06569362431764603,0.008279243484139442,0.0,0.0,0.06585785746574402,3.319976568222046,0.0,9,,,,,,,,,,,,,,,,,,
,1059,,,,,,,,,,9,0.06206657737493515,0.0,0.05219627916812897,0.009870298206806183,0.0,0.0,0.05232676863670349,3.9579896926879883,0.0,0.06206657737493515,0.0,0.05219627916812897,0.009870299138128757,0.0,0.0,0.05232676863670349,3.9579896926879883,0.0
0.0002999992844542695,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1099,0.07836342602968216,0.0,0.05183340609073639,0.02653001993894577,0.0,0.0,0.05196298658847809,10.638537406921387,0.0,10,,,,,,,,,,,,,,,,,,
0.0002999992844542695,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1149,0.06176692619919777,0.0,0.04948373883962631,0.012283187359571457,0.0,0.0,0.049607448279857635,4.925558090209961,0.0,10,,,,,,,,,,,,,,,,,,
0.0002999991341898156,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1199,0.08689740300178528,0.0,0.07024145871400833,0.016655944287776947,0.0,0.0,0.07041706144809723,6.679033279418945,0.0,11,,,,,,,,,,,,,,,,,,
0.0002999991341898156,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1249,0.06237100437283516,0.0,0.04738615080714226,0.014984853565692902,0.0,0.0,0.04750461503863335,6.008925914764404,0.0,11,,,,,,,,,,,,,,,,,,
0.0002999989696145209,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1299,0.08680818974971771,0.0,0.0771145224571228,0.009693666361272335,0.0,0.0,0.0773073062300682,3.887160062789917,0.0,12,,,,,,,,,,,,,,,,,,
0.0002999989696145209,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1349,0.07525339722633362,0.0,0.06605454534292221,0.009198854677379131,0.0,0.0,0.06621968001127243,3.6887404918670654,0.0,12,,,,,,,,,,,,,,,,,,
0.00029999879072840164,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1399,0.06993284821510315,0.0,0.06375940144062042,0.006173449102789164,0.0,0.0,0.06391879916191101,2.475553035736084,0.0,13,,,,,,,,,,,,,,,,,,
0.00029999879072840164,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1449,0.09888481348752975,0.0,0.08680311590433121,0.012081695720553398,0.0,0.0,0.08702012151479721,4.844759941101074,0.0,13,,,,,,,,,,,,,,,,,,
0.00029999859753147547,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1499,0.05838591977953911,0.0,0.05087156966328621,0.007514348719269037,0.0,0.0,0.0509987473487854,3.013253688812256,0.0,14,,,,,,,,,,,,,,,,,,
0.00029999859753147547,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1549,0.041962720453739166,0.0,0.035962313413619995,0.006000407040119171,0.0,0.0,0.036052219569683075,2.406163215637207,0.0,14,,,,,,,,,,,,,,,,,,
,1589,,,,,,,,,,14,0.056041277945041656,0.0,0.04789958521723747,0.008141697384417057,0.0,0.0,0.04801933094859123,3.2648205757141113,0.0,0.056041277945041656,0.0,0.047899581491947174,0.008141697384417057,0.0,0.0,0.04801933094859123,3.2648205757141113,0.0
0.00029999839002376144,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1599,0.046200379729270935,0.0,0.04161716625094414,0.0045832134783267975,0.0,0.0,0.04172120988368988,1.837868571281433,0.0,15,,,,,,,,,,,,,,,,,,
0.00029999839002376144,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1649,0.05025733262300491,0.0,0.042956676334142685,0.007300654426217079,0.0,0.0,0.04306406527757645,2.9275622367858887,0.0,15,,,,,,,,,,,,,,,,,,
0.00029999816820528005,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1699,0.07166969031095505,0.0,0.05533595383167267,0.01633373461663723,0.0,0.0,0.05547429248690605,6.549827575683594,0.0,16,,,,,,,,,,,,,,,,,,
0.00029999816820528005,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1749,0.06931211054325104,0.0,0.06081268936395645,0.00849942211061716,0.0,0.0,0.06096471846103668,3.4082679748535156,0.0,16,,,,,,,,,,,,,,,,,,
0.00029999816820528005,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
